tracking_id,shipping_date,source_country,source_city,destination_country,destination_city,distance,package_size,service_type,perishable,hazardous,committed_delivery_time,delivered_in_time,weight,delivery_time,shipping_price,delivery_penalty,hops
DIG455431257522572,1346976000000000,Indonesia,Bangil,Indonesia,Samarinda,1257,S,Ground,false,false,4320,false,9.44,8532,18.3513,13.4784,1
DIG45518260589288,1332806400000000,United States,Montclair,United States,Millbrae,277,S,Ground,false,false,4320,false,10.93,5120,18.2143,2.56,1
DIG45591906941012,1386028800000000,United States,Cortland,United States,Bel Air South,2951,C,Ground,false,false,4320,false,3091.74,9302,1561.0259,15.942400000000001,2
DIG4559541754700,1543017600000000,United States,Spokane,United States,Broadview Heights,49,M,Ground,false,false,4320,false,91.47,5562,58.2791,3.9744,1
DIG45588565277564,1308009600000000,United States,Coconut Grove,United States,Forest Hills,2237,C,Ground,false,false,4320,false,2615.62,9282,1322.3233,15.878400000000001,2
DIG455311070000228,1292198400000000,United States,Boulder,United States,Hilliard,2398,XL,Ground,false,false,4320,false,481.49,5192,255.4032,2.7904,2
DIG45541601050832,1543881600000000,United States,Dolton,United States,Tinley Park,1178,XL,Ground,false,false,4320,false,333.28,7556,180.2002,10.3552,1
DIG455366014112876,1340841600000000,United States,Minot,United States,East Ridge,1551,L,Ground,false,false,4320,false,185.63,4920,106.7109,1.9200000000000002,1
DIG455118887764412,1506816000000000,United States,Cookeville,United States,Thousand Oaks,1821,M,Ground,false,false,4320,false,25.81,9147,27.0439,15.4464,1
DIG45513296477660,1538697600000000,United States,Ewing,United States,Florin,445,E,Ground,false,false,4320,false,0.86,7191,13.3305,9.1872,1
DIG4553968650200,1418169600000000,United States,Whitehall,United States,Elizabeth City,1737,E,Ground,false,false,4320,false,0.15,6603,14.1383,7.3056,1
DIG455145363559580,1412294400000000,United States,Saint Charles,United States,Brenham,2121,E,Ground,false,false,4320,false,0.16,8887,14.4889,14.6144,2
DIG455157480438440,1370563200000000,United States,New Bern,United States,Gilbert,2866,L,Ground,false,false,4320,false,113.99,6759,72.0744,7.8048,2
DIG45528632661584,1293408000000000,United States,Annapolis,United States,Camas,763,XL,Ground,false,false,4320,false,436.28,5246,231.3267,2.9632,1
